@relation 'max_min_all_fin-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5'

@attribute Fmax numeric
@attribute Fmin numeric
@attribute Mmax numeric
@attribute Mmin numeric
@attribute Class numeric

@data
0.014447,-1.24394,0.0567,0.011397,3
0.015887,-1.245097,0.084,0.00873,1
0.03792,-1.217917,0.092967,0.008813,1
0.016193,-1.28051,0.047833,0.0118,3
0.221553,-1.278957,0.112233,0.003047,1
0.015357,-1.30822,0.0639,0.009947,3
0.018257,-1.194587,0.108267,0.00836,1
0.024403,-1.20374,0.0839,0.00844,1
0.023897,-1.260727,0.085,0.00723,3
0.314453,-1.259293,0.120833,-0.00197,1
0.02019,-1.241447,0.100867,0.006287,3
0.257787,-1.428,0.124467,0.008873,1
0.125997,-1.192837,0.098433,0.010723,1
0.024797,-1.250407,0.069,0.01079,3
0.022723,-1.231563,0.1147,0.012553,1
0.15778,-1.315063,0.1018,0.006593,1
0.01816,-1.25731,0.071833,0.002447,3
0.022277,-1.300893,0.073667,0.008037,3
0.02517,-1.324633,0.2104,0.016627,1
0.212153,-1.235877,0.1074,0.012327,1
0.21413,-1.171893,0.107567,0.000987,1
0.137633,-1.310653,0.118467,0.00971,1
0.030447,-1.386547,0.121367,-0.001737,1
0.014677,-1.534493,0.1322,-0.00511,1
0.090017,-1.25254,0.117333,-0.003477,1
0.0135,-1.23707,0.153767,0.003293,3
0.018417,-1.154407,0.132333,0.006723,1
0.011633,-1.22394,0.105267,-0.00261,1
0.013333,-1.39655,0.0712,0.00734,3
0.01838,-1.305837,0.071033,0.01838,3
0.247937,-1.219323,0.0927,0.008483,1
0.238303,-1.381657,0.1106,-0.004643,1
0.18815,-1.23408,0.0912,0.000317,2
0.225027,-1.25892,0.087333,0.001693,2
0.158557,-1.2817,0.0843,0.000463,1
0.020297,-1.288667,0.066467,0.004487,3
0.215577,-1.36726,0.1057,0.007667,1
0.024427,-1.30351,0.101933,0.007713,1
0.026787,-1.269637,0.1132,0.01744,1
0.0203,-1.284473,0.078933,0.003667,3
